slide_id,tile_id,comparison_label,method_a,method_b,abs_err_a,abs_err_b,delta_abs_err,hass_level,density_bin,gt_count,p_value_pairwise,holm_adjusted_p
internal,30,spotiphy_vs_stardist,spotiphy,stardist,208.0,470.0,262.0,,Q1,29,0.00390625,0.01171875
internal,31,segdecon_vs_spotiphy,segdecon,spotiphy,12.0,372.0,360.0,,Q2,35,0.001953125,0.005859375
internal,31,segdecon_vs_stardist,segdecon,stardist,12.0,518.0,506.0,,Q2,35,0.001953125,0.005859375
internal,31,spotiphy_vs_stardist,spotiphy,stardist,372.0,518.0,146.0,,Q2,35,0.001953125,0.005859375
internal,32,segdecon_vs_spotiphy,segdecon,spotiphy,12.0,297.0,285.0,,Q1,31,0.00390625,0.01171875
internal,32,segdecon_vs_stardist,segdecon,stardist,12.0,497.0,485.0,,Q1,31,0.00390625,0.01171875
internal,32,spotiphy_vs_stardist,spotiphy,stardist,297.0,497.0,200.0,,Q1,31,0.00390625,0.01171875
internal,33,segdecon_vs_spotiphy,segdecon,spotiphy,10.0,146.0,136.0,,Q3,40,0.0078125,0.0234375
internal,33,segdecon_vs_stardist,segdecon,stardist,10.0,377.0,367.0,,Q3,40,0.0078125,0.0234375
internal,33,spotiphy_vs_stardist,spotiphy,stardist,146.0,377.0,231.0,,Q3,40,0.25,0.25
internal,34,segdecon_vs_spotiphy,segdecon,spotiphy,19.0,322.0,303.0,,Q2,33,0.001953125,0.005859375
internal,34,segdecon_vs_stardist,segdecon,stardist,19.0,390.0,371.0,,Q2,33,0.001953125,0.005859375
internal,34,spotiphy_vs_stardist,spotiphy,stardist,322.0,390.0,68.0,,Q2,33,0.001953125,0.005859375
internal,35,segdecon_vs_spotiphy,segdecon,spotiphy,26.0,261.0,235.0,,Q4,46,0.00390625,0.01171875
internal,35,segdecon_vs_stardist,segdecon,stardist,26.0,257.0,231.0,,Q4,46,0.00390625,0.01171875
internal,35,spotiphy_vs_stardist,spotiphy,stardist,261.0,257.0,-4.0,,Q4,46,0.65234375,0.65234375
external,0,segdecon_vs_spotiphy,segdecon,spotiphy,1.0,15.0,14.0,,Q1,16,0.00390625,0.01171875
external,0,segdecon_vs_stardist,segdecon,stardist,1.0,1.0,0.0,,Q1,16,0.011718685599768628,0.023437371199537257
external,0,spotiphy_vs_stardist,spotiphy,stardist,15.0,1.0,-14.0,,Q1,16,0.01171875,0.023437371199537257
external,1,segdecon_vs_spotiphy,segdecon,spotiphy,29.0,190.0,161.0,,Q4,203,0.01953125,0.05859375
external,1,segdecon_vs_stardist,segdecon,stardist,29.0,13.0,-16.0,,Q4,203,0.09289194088370532,0.18578388176741065
external,1,spotiphy_vs_stardist,spotiphy,stardist,190.0,13.0,-177.0,,Q4,203,0.734375,0.734375
external,2,segdecon_vs_spotiphy,segdecon,spotiphy,45.0,92.0,47.0,,Q4,162,0.01953125,0.05859375
external,2,segdecon_vs_stardist,segdecon,stardist,45.0,3.0,-42.0,,Q4,162,0.09289194088370532,0.18578388176741065
external,2,spotiphy_vs_stardist,spotiphy,stardist,92.0,3.0,-89.0,,Q4,162,0.734375,0.734375
external,3,segdecon_vs_spotiphy,segdecon,spotiphy,3.0,212.0,209.0,,Q4,241,0.01953125,0.05859375
external,3,segdecon_vs_stardist,segdecon,stardist,3.0,33.0,30.0,,Q4,241,0.09289194088370532,0.18578388176741065
external,3,spotiphy_vs_stardist,spotiphy,stardist,212.0,33.0,-179.0,,Q4,241,0.734375,0.734375
external,4,segdecon_vs_spotiphy,segdecon,spotiphy,20.0,153.0,133.0,,Q4,158,0.01953125,0.05859375
external,4,segdecon_vs_stardist,segdecon,stardist,20.0,20.0,0.0,,Q4,158,0.09289194088370532,0.18578388176741065
external,4,spotiphy_vs_stardist,spotiphy,stardist,153.0,20.0,-133.0,,Q4,158,0.734375,0.734375
external,5,segdecon_vs_spotiphy,segdecon,spotiphy,25.0,162.0,137.0,,Q4,170,0.01953125,0.05859375
external,5,segdecon_vs_stardist,segdecon,stardist,25.0,30.0,5.0,,Q4,170,0.09289194088370532,0.18578388176741065
external,5,spotiphy_vs_stardist,spotiphy,stardist,162.0,30.0,-132.0,,Q4,170,0.734375,0.734375
external,6,segdecon_vs_spotiphy,segdecon,spotiphy,3.0,54.0,51.0,,Q3,64,0.00390625,0.01171875
external,6,segdecon_vs_stardist,segdecon,stardist,3.0,9.0,6.0,,Q3,64,0.00390625,0.01171875
external,6,spotiphy_vs_stardist,spotiphy,stardist,54.0,9.0,-45.0,,Q3,64,0.0390625,0.0390625
external,7,segdecon_vs_spotiphy,segdecon,spotiphy,14.0,5.0,-9.0,,Q4,148,0.01953125,0.05859375
external,7,segdecon_vs_stardist,segdecon,stardist,14.0,232.0,218.0,,Q4,148,0.09289194088370532,0.18578388176741065
external,7,spotiphy_vs_stardist,spotiphy,stardist,5.0,232.0,227.0,,Q4,148,0.734375,0.734375
external,8,segdecon_vs_spotiphy,segdecon,spotiphy,7.0,182.0,175.0,,Q1,20,0.00390625,0.01171875
external,8,segdecon_vs_stardist,segdecon,stardist,7.0,412.0,405.0,,Q1,20,0.011718685599768628,0.023437371199537257
external,8,spotiphy_vs_stardist,spotiphy,stardist,182.0,412.0,230.0,,Q1,20,0.01171875,0.023437371199537257
external,9,segdecon_vs_spotiphy,segdecon,spotiphy,11.0,168.0,157.0,,Q1,20,0.00390625,0.01171875
external,9,segdecon_vs_stardist,segdecon,stardist,11.0,447.0,436.0,,Q1,20,0.011718685599768628,0.023437371199537257
external,9,spotiphy_vs_stardist,spotiphy,stardist,168.0,447.0,279.0,,Q1,20,0.01171875,0.023437371199537257
external,10,segdecon_vs_spotiphy,segdecon,spotiphy,12.0,82.0,70.0,,Q4,107,0.01953125,0.05859375
external,10,segdecon_vs_stardist,segdecon,stardist,12.0,448.0,436.0,,Q4,107,0.09289194088370532,0.18578388176741065
external,10,spotiphy_vs_stardist,spotiphy,stardist,82.0,448.0,366.0,,Q4,107,0.734375,0.734375
external,11,segdecon_vs_spotiphy,segdecon,spotiphy,2.0,58.0,56.0,,Q4,168,0.01953125,0.05859375
external,11,segdecon_vs_stardist,segdecon,stardist,2.0,223.0,221.0,,Q4,168,0.09289194088370532,0.18578388176741065
external,11,spotiphy_vs_stardist,spotiphy,stardist,58.0,223.0,165.0,,Q4,168,0.734375,0.734375
external,12,segdecon_vs_spotiphy,segdecon,spotiphy,55.0,44.0,-11.0,,Q4,136,0.01953125,0.05859375
external,12,segdecon_vs_stardist,segdecon,stardist,55.0,187.0,132.0,,Q4,136,0.09289194088370532,0.18578388176741065
external,12,spotiphy_vs_stardist,spotiphy,stardist,44.0,187.0,143.0,,Q4,136,0.734375,0.734375
external,13,segdecon_vs_spotiphy,segdecon,spotiphy,11.0,237.0,226.0,,Q1,24,0.00390625,0.01171875
external,13,segdecon_vs_stardist,segdecon,stardist,11.0,453.0,442.0,,Q1,24,0.011718685599768628,0.023437371199537257
external,13,spotiphy_vs_stardist,spotiphy,stardist,237.0,453.0,216.0,,Q1,24,0.01171875,0.023437371199537257
external,14,segdecon_vs_spotiphy,segdecon,spotiphy,14.0,203.0,189.0,,Q2,31,0.00390625,0.01171875
external,14,segdecon_vs_stardist,segdecon,stardist,14.0,386.0,372.0,,Q2,31,0.00390625,0.01171875
external,14,spotiphy_vs_stardist,spotiphy,stardist,203.0,386.0,183.0,,Q2,31,0.0078125,0.01171875
external,15,segdecon_vs_spotiphy,segdecon,spotiphy,8.0,201.0,193.0,,Q1,28,0.00390625,0.01171875
external,15,segdecon_vs_stardist,segdecon,stardist,8.0,384.0,376.0,,Q1,28,0.011718685599768628,0.023437371199537257
external,15,spotiphy_vs_stardist,spotiphy,stardist,201.0,384.0,183.0,,Q1,28,0.01171875,0.023437371199537257
external,16,segdecon_vs_spotiphy,segdecon,spotiphy,4.0,181.0,177.0,,Q1,27,0.00390625,0.01171875
external,16,segdecon_vs_stardist,segdecon,stardist,4.0,385.0,381.0,,Q1,27,0.011718685599768628,0.023437371199537257
external,16,spotiphy_vs_stardist,spotiphy,stardist,181.0,385.0,204.0,,Q1,27,0.01171875,0.023437371199537257
external,17,segdecon_vs_spotiphy,segdecon,spotiphy,11.0,269.0,258.0,,Q1,24,0.00390625,0.01171875
external,17,segdecon_vs_stardist,segdecon,stardist,11.0,494.0,483.0,,Q1,24,0.011718685599768628,0.023437371199537257
external,17,spotiphy_vs_stardist,spotiphy,stardist,269.0,494.0,225.0,,Q1,24,0.01171875,0.023437371199537257
